Local time,Open,High,Low,Close,Volume
28.02.2020 14:00:00.000 GMT-0800,8560,8560,8560,8560,0
29.02.2020 14:00:00.000 GMT-0800,8425,8471,8404,8455,0.1425
01.03.2020 14:00:00.000 GMT-0800,8457,8892,8433,8888,697.0164
02.03.2020 14:00:00.000 GMT-0800,8888,8916,8605,8680,577.3498000000001
03.03.2020 14:00:00.000 GMT-0800,8680,8790,8614,8678,509.9443000000001
04.03.2020 14:00:00.000 GMT-0800,8678,9113,8672,9059,742.3268
05.03.2020 14:00:00.000 GMT-0800,9059,9124,8943,9062,767.5138000000002
06.03.2020 14:00:00.000 GMT-0800,9062,9062,9062,9062,0
07.03.2020 14:00:00.000 GMT-0800,9062,9062,9062,9062,0
08.03.2020 14:00:00.000 GMT-0700,8215,8235,7580,7800,773.0391000000003
09.03.2020 14:00:00.000 GMT-0700,7799,8096,7680,7942,547.1348
10.03.2020 14:00:00.000 GMT-0700,7942,7980,7535,7804,580.1595
11.03.2020 14:00:00.000 GMT-0700,7804,7934,5542,5668,933.9614999999999
12.03.2020 14:00:00.000 GMT-0700,5668,5936,3851,5389,1067.2214999999999
13.03.2020 14:00:00.000 GMT-0700,5389,5389,5389,5389,0
14.03.2020 14:00:00.000 GMT-0700,5389,5389,5389,5389,0
15.03.2020 14:00:00.000 GMT-0700,5118,5897,4378,4849,1074.8479
16.03.2020 14:00:00.000 GMT-0700,4850,5448,4811,5411,1159.1124000000002
17.03.2020 14:00:00.000 GMT-0700,5411,5505,4967,5282,1180.5893999999998
18.03.2020 14:00:00.000 GMT-0700,5282,6336,5212,6199,1169.6039
19.03.2020 14:00:00.000 GMT-0700,6199,6888,5645,5916,1346.8471
20.03.2020 14:00:00.000 GMT-0700,5916,5916,5916,5916,0
21.03.2020 14:00:00.000 GMT-0700,5916,5916,5916,5916,0
22.03.2020 14:00:00.000 GMT-0700,5881,6579,5635,6357,1104.883
23.03.2020 14:00:00.000 GMT-0700,6357,6808,6305,6699,1165.2362
24.03.2020 14:00:00.000 GMT-0700,6699,6929,6417,6542,1075.9617000000003
25.03.2020 14:00:00.000 GMT-0700,6542,6738,6476,6691,922.1240999999999
26.03.2020 14:00:00.000 GMT-0700,6690,6811,6531,6627,706.7071000000001
27.03.2020 14:00:00.000 GMT-0700,6627,6627,6627,6627,0
28.03.2020 14:00:00.000 GMT-0700,6627,6627,6627,6627,0
29.03.2020 14:00:00.000 GMT-0700,5891,6467,5799,6423,893.8978000000001
30.03.2020 14:00:00.000 GMT-0700,6423,6572,6287,6424,857.4620999999999
31.03.2020 14:00:00.000 GMT-0700,6424,6439,6103,6295,856.8605
01.04.2020 14:00:00.000 GMT-0700,6295,7194,6294,6694,1211.4614
02.04.2020 14:00:00.000 GMT-0700,6690,6989,6562,6647,1180.8010000000002
03.04.2020 14:00:00.000 GMT-0700,6647,6647,6647,6647,0
04.04.2020 14:00:00.000 GMT-0700,6647,6647,6647,6647,0
05.04.2020 14:00:00.000 GMT-0700,6701,7266,6672,7173,1116.6702
06.04.2020 14:00:00.000 GMT-0700,7173,7411,7023,7065,1101.5324
07.04.2020 14:00:00.000 GMT-0700,7065,7371,7030,7266,1048.2164999999998
08.04.2020 14:00:00.000 GMT-0700,7266,7340,7060,7248,782.046
09.04.2020 14:00:00.000 GMT-0700,7248,7268,6696,6866,1015.2727999999998
10.04.2020 14:00:00.000 GMT-0700,6866,6866,6866,6866,0
11.04.2020 14:00:00.000 GMT-0700,6866,6866,6866,6866,0
12.04.2020 14:00:00.000 GMT-0700,7073,7097,6535,6771,907.1028000000001
13.04.2020 14:00:00.000 GMT-0700,6772,6929,6722,6817,996.6466
14.04.2020 14:00:00.000 GMT-0700,6817,6883,6636,6693,686.9103
15.04.2020 14:00:00.000 GMT-0700,6693,7095,6424,7003,943.6294999999998
16.04.2020 14:00:00.000 GMT-0700,7003,7156,6945,7004,968.4653999999999
17.04.2020 14:00:00.000 GMT-0700,7004,7004,7004,7004,0
18.04.2020 14:00:00.000 GMT-0700,7004,7004,7004,7004,0
19.04.2020 14:00:00.000 GMT-0700,7092,7167,6705,6810,1030.5636000000002
20.04.2020 14:00:00.000 GMT-0700,6810,6897,6719,6840,868.9962000000002
21.04.2020 14:00:00.000 GMT-0700,6840,7111,6772,7063,783.924
22.04.2020 14:00:00.000 GMT-0700,7063,7706,6980,7484,952.6870000000001
23.04.2020 14:00:00.000 GMT-0700,7484,7562,7341,7477,698.0361
24.04.2020 14:00:00.000 GMT-0700,7477,7477,7477,7477,0
25.04.2020 14:00:00.000 GMT-0700,7477,7477,7477,7477,0
26.04.2020 14:00:00.000 GMT-0700,7600,7742,7535,7654,772.1967999999999
27.04.2020 14:00:00.000 GMT-0700,7654,7740,7616,7680,791.8286000000002
28.04.2020 14:00:00.000 GMT-0700,7680,8917,7665,8878,1136.9605999999999
29.04.2020 14:00:00.000 GMT-0700,8878,9414,8356,8771,1501.607
30.04.2020 14:00:00.000 GMT-0700,8771,9014,8536,8676,1051.3193
01.05.2020 14:00:00.000 GMT-0700,8676,8676,8676,8676,0
02.05.2020 14:00:00.000 GMT-0700,8676,8676,8676,8676,0
03.05.2020 14:00:00.000 GMT-0700,8778,8909,8480,8866,951.3427000000001
04.05.2020 14:00:00.000 GMT-0700,8866,9065,8732,8899,951.4865000000001
05.05.2020 14:00:00.000 GMT-0700,8898,9340,8867,9197,1054.7829000000002
06.05.2020 14:00:00.000 GMT-0700,9197,9911,8989,9751,1193.5694
07.05.2020 14:00:00.000 GMT-0700,9751,10016,9677,9944,1151.0562999999997
08.05.2020 14:00:00.000 GMT-0700,9944,9944,9944,9944,0
09.05.2020 14:00:00.000 GMT-0700,9944,9944,9944,9944,0
10.05.2020 14:00:00.000 GMT-0700,8675,9116,8146,8580,1334.3591999999999
11.05.2020 14:00:00.000 GMT-0700,8580,8922,8426,8768,1194.6733000000002
12.05.2020 14:00:00.000 GMT-0700,8768,9287,8693,9246,1251.3452
13.05.2020 14:00:00.000 GMT-0700,9246,9889,9213,9603,1256.8628999999999
14.05.2020 14:00:00.000 GMT-0700,9603,9793,9092,9186,866.9855000000001
15.05.2020 14:00:00.000 GMT-0700,9186,9186,9186,9186,0
16.05.2020 14:00:00.000 GMT-0700,9186,9186,9186,9186,0
17.05.2020 14:00:00.000 GMT-0700,9676,9899,9415,9621,724.8217
18.05.2020 14:00:00.000 GMT-0700,9621,9841,9410,9638,1039.5514999999998
19.05.2020 14:00:00.000 GMT-0700,9638,9783,9259,9535,848.5646999999998
20.05.2020 14:00:00.000 GMT-0700,9535,9535,8748,9002,892.7840000000001
21.05.2020 14:00:00.000 GMT-0700,9002,9211,8876,9128,690.6516999999999
22.05.2020 14:00:00.000 GMT-0700,9128,9128,9128,9128,0
23.05.2020 14:00:00.000 GMT-0700,9128,9128,9128,9128,0
24.05.2020 14:00:00.000 GMT-0700,8944,9022,8581,8860,938.1555
25.05.2020 14:00:00.000 GMT-0700,8860,8962,8644,8803,725.4947000000002
26.05.2020 14:00:00.000 GMT-0700,8802,9173,8751,9111,481.9104
27.05.2020 14:00:00.000 GMT-0700,9111,9481,9001,9391,525.8281999999999
28.05.2020 14:00:00.000 GMT-0700,9391,9568,9285,9362,530.417
29.05.2020 14:00:00.000 GMT-0700,9362,9362,9362,9362,0
30.05.2020 14:00:00.000 GMT-0700,9362,9362,9362,9362,0
31.05.2020 14:00:00.000 GMT-0700,9450,9639,9334,9624,222.52450000000005
01.06.2020 14:00:00.000 GMT-0700,9624,10357,9246,9464,582.3325
02.06.2020 14:00:00.000 GMT-0700,9464,9592,9341,9528,497.6516
03.06.2020 14:00:00.000 GMT-0700,9528,9829,9405,9731,602.1793000000001
04.06.2020 14:00:00.000 GMT-0700,9731,9806,9567,9660,641.5621999999998
05.06.2020 14:00:00.000 GMT-0700,9660,9660,9660,9660,0
06.06.2020 14:00:00.000 GMT-0700,9660,9660,9660,9660,0
07.06.2020 14:00:00.000 GMT-0700,9671,9754,9599,9647,541.9835
08.06.2020 14:00:00.000 GMT-0700,9647,9835,9528,9693,571.8335000000001
09.06.2020 14:00:00.000 GMT-0700,9693,9959,9651,9812,618.7937
10.06.2020 14:00:00.000 GMT-0700,9812,9954,9038,9283,586.1053
11.06.2020 14:00:00.000 GMT-0700,9281,9496,9177,9408,500.6261999999999
12.06.2020 14:00:00.000 GMT-0700,9408,9408,9408,9408,0
13.06.2020 14:00:00.000 GMT-0700,9408,9408,9408,9408,0
14.06.2020 14:00:00.000 GMT-0700,9325,9433,8854,9426,586.7286
15.06.2020 14:00:00.000 GMT-0700,9426,9535,9329,9439,512.2108000000001
16.06.2020 14:00:00.000 GMT-0700,9439,9505,9189,9318,332.4248
17.06.2020 14:00:00.000 GMT-0700,9315,9423,9257,9288,335.6864999999999
18.06.2020 14:00:00.000 GMT-0700,9281,9374,9178,9259,347.62410000000006
19.06.2020 14:00:00.000 GMT-0700,9259,9259,9259,9259,0
20.06.2020 14:00:00.000 GMT-0700,9259,9259,9259,9259,0
21.06.2020 14:00:00.000 GMT-0700,9253,9611,9217,9590,226.65419999999997
22.06.2020 14:00:00.000 GMT-0700,9590,9731,9524,9575,420.2478999999999
23.06.2020 14:00:00.000 GMT-0700,9575,9612,9146,9233,327.71290000000005
24.06.2020 14:00:00.000 GMT-0700,9233,9264,8940,9219,371.5144
25.06.2020 14:00:00.000 GMT-0700,9219,9279,8976,9132,392.4339999999999
26.06.2020 14:00:00.000 GMT-0700,9132,9132,9132,9132,0
27.06.2020 14:00:00.000 GMT-0700,9132,9132,9132,9132,0
28.06.2020 14:00:00.000 GMT-0700,9053,9138,8963,9124,460.1338999999999
29.06.2020 14:00:00.000 GMT-0700,9124,9179,9008,9090,484.78679999999997
30.06.2020 14:00:00.000 GMT-0700,9091,9241,9037,9184,471.1514
01.07.2020 14:00:00.000 GMT-0700,9184,9210,8892,9025,554.2063999999999
02.07.2020 14:00:00.000 GMT-0700,9025,9102,9002,9037,438.57499999999993
03.07.2020 14:00:00.000 GMT-0700,9037,9037,9037,9037,0
04.07.2020 14:00:00.000 GMT-0700,8974,8988,8974,8980,0.023
05.07.2020 14:00:00.000 GMT-0700,8952,9295,8870,9220,194.8783
06.07.2020 14:00:00.000 GMT-0700,9220,9323,9151,9200,323.12339999999995
07.07.2020 14:00:00.000 GMT-0700,9199,9420,9175,9376,308.6462
08.07.2020 14:00:00.000 GMT-0700,9376,9416,9109,9182,277.4548
09.07.2020 14:00:00.000 GMT-0700,9182,9200,9070,9175,229.9916
10.07.2020 14:00:00.000 GMT-0700,9175,9175,9175,9175,0
11.07.2020 14:00:00.000 GMT-0700,9205,9207,9191,9192,0.0416
12.07.2020 14:00:00.000 GMT-0700,9176,9287,9145,9193,3.0510999999999995
13.07.2020 14:00:00.000 GMT-0700,9187,9223,9070,9217,1.1114
14.07.2020 14:00:00.000 GMT-0700,9217,9221,9101,9157,0.6728000000000002
15.07.2020 14:00:00.000 GMT-0700,9154,9173,8977,9047,0.9242000000000001
16.07.2020 14:00:00.000 GMT-0700,9046,9126,9023,9109,0.5751
17.07.2020 14:00:00.000 GMT-0700,9109,9109,9109,9109,0
18.07.2020 14:00:00.000 GMT-0700,9072,9082,9058,9075,0.0476
19.07.2020 14:00:00.000 GMT-0700,9117,9180,9082,9120,0.6532999999999999
20.07.2020 14:00:00.000 GMT-0700,9118,9381,9098,9323,0.8905
21.07.2020 14:00:00.000 GMT-0700,9319,9344,9230,9322,0.4977999999999999
22.07.2020 14:00:00.000 GMT-0700,9319,9622,9313,9534,0.7139000000000002
23.07.2020 14:00:00.000 GMT-0700,9535,9566,9421,9537,0.42269999999999996
24.07.2020 14:00:00.000 GMT-0700,9537,9537,9537,9537,0
25.07.2020 14:00:00.000 GMT-0700,9958,9959,9902,9921,0.0897
26.07.2020 14:00:00.000 GMT-0700,9826,10895,9819,10827,1.9576000000000002
27.07.2020 14:00:00.000 GMT-0700,10825,11351,10534,10920,2.2897000000000003
28.07.2020 14:00:00.000 GMT-0700,10933,11240,10795,11162,1.4815
29.07.2020 14:00:00.000 GMT-0700,11163,11294,10797,11092,1.4054000000000002
30.07.2020 14:00:00.000 GMT-0700,11098,11398,10922,11271,0.8490999999999999
31.07.2020 14:00:00.000 GMT-0700,11569,11797,11514,11779,0.3419
01.08.2020 14:00:00.000 GMT-0700,11196,11214,10907,11050,0.2265
02.08.2020 14:00:00.000 GMT-0700,11034,11424,10908,11315,1.0359000000000003
03.08.2020 14:00:00.000 GMT-0700,11335,11365,10986,11155,0.6244999999999999
04.08.2020 14:00:00.000 GMT-0700,11159,11669,11045,11628,0.564
05.08.2020 14:00:00.000 GMT-0700,11641,11857,11498,11794,0.7348
06.08.2020 14:00:00.000 GMT-0700,11806,11860,11294,11452,0.6762
07.08.2020 14:00:00.000 GMT-0700,11452,11452,11452,11452,0
08.08.2020 14:00:00.000 GMT-0700,11452,11452,11452,11452,0
09.08.2020 14:00:00.000 GMT-0700,11618,12026,11463,11803,1.2681999999999998
10.08.2020 14:00:00.000 GMT-0700,11802,11885,11080,11154,2.0625
11.08.2020 14:00:00.000 GMT-0700,11138,11568,11072,11508,1.3462
12.08.2020 14:00:00.000 GMT-0700,11507,11606,11223,11553,1.4476999999999998
13.08.2020 14:00:00.000 GMT-0700,11591,11805,11569,11760,2.1233999999999997
14.08.2020 14:00:00.000 GMT-0700,11760,11760,11760,11760,0
15.08.2020 14:00:00.000 GMT-0700,11760,11760,11760,11760,0
16.08.2020 14:00:00.000 GMT-0700,11793,12420,11719,12271,2.2526000000000006
17.08.2020 14:00:00.000 GMT-0700,12269,12359,11780,11974,2.8766000000000003
18.08.2020 14:00:00.000 GMT-0700,11969,12037,11539,11659,4.0539
19.08.2020 14:00:00.000 GMT-0700,11661,11835,11622,11807,2.7992
20.08.2020 14:00:00.000 GMT-0700,11804,11837,11557,11620,2.4787
21.08.2020 14:00:00.000 GMT-0700,11515,11553,11496,11551,0.359
22.08.2020 14:00:00.000 GMT-0700,11485,11500,11470,11477,0.1555
23.08.2020 14:00:00.000 GMT-0700,11612,11769,11540,11676,1.8551000000000002
24.08.2020 14:00:00.000 GMT-0700,11666,11730,11067,11208,2.9933
25.08.2020 14:00:00.000 GMT-0700,11220,11485,11200,11453,1.9241
26.08.2020 14:00:00.000 GMT-0700,11454,11537,11072,11208,2.5164
27.08.2020 14:00:00.000 GMT-0700,11206,11494,11199,11454,2.1201999999999996
28.08.2020 14:00:00.000 GMT-0700,11409,11484,11381,11464,0.1873
29.08.2020 14:00:00.000 GMT-0700,11507,11547,11502,11544,0.1795
30.08.2020 14:00:00.000 GMT-0700,11579,11723,11527,11622,1.5534999999999999
31.08.2020 14:00:00.000 GMT-0700,11618,12005,11488,11971,2.6048999999999998
01.09.2020 14:00:00.000 GMT-0700,11965,12005,11165,11343,2.6906
02.09.2020 14:00:00.000 GMT-0700,11340,11452,10495,10764,4.511699999999999
03.09.2020 14:00:00.000 GMT-0700,10757,10778,9893,10578,3.7449999999999997
04.09.2020 14:00:00.000 GMT-0700,10578,10612,9831,10063,4.589200000000001
05.09.2020 14:00:00.000 GMT-0700,10063,10272,9935,10211,4.309800000000001
06.09.2020 14:00:00.000 GMT-0700,10304,10327,9864,10131,4.371
07.09.2020 14:00:00.000 GMT-0700,10126,10422,9906,9995,4.8982
08.09.2020 14:00:00.000 GMT-0700,9981,10328,9840,10240,3.3981999999999997
09.09.2020 14:00:00.000 GMT-0700,10231,10470,10160,10284,1.9464000000000001
10.09.2020 14:00:00.000 GMT-0700,10284,10362,10188,10304,0.5174000000000001
11.09.2020 14:00:00.000 GMT-0700,10303,10459,10257,10419,0.7956000000000003
12.09.2020 14:00:00.000 GMT-0700,10415,10559,10197,10295,0.5921000000000001
